vendor_company_name,vendor_name,industry,description,contact,email_id,keywords,vendor_id
SweetHarvest Ltd.,John Doe,Sugar,"Supplier of refined sugar, providing high-quality products to retailers and manufacturers.",9876543210,john@sweetharvest.com,"refined-sugar, sugar-supplier, high-quality-sugar",d88253d7-7302-4838-81ae-5deaa148eb7d
SugarCorp,Alice Smith,Sugar,"Organic sugar provider, committed to sustainable and eco-friendly production.",8765432109,alice@sugarcorp.com,"organic-sugar, sugar-supplier, sustainable-sugar-production, eco-friendly-sugar",e53f1b11-e0f6-48f7-ae76-ffaaccaeb961
FurniStyle,Robert Brown,Chair,"Wooden and steel chairs manufacturer, customized designs for homes and offices.",7654321098,robert@furnistyle.com,"wooden-chairs, steel-chairs, customized-furniture, office-furniture",e41d1e6f-f1b4-4ff9-b3b9-70742fe7662d
Golden Cane,Michael White,Sugar,Bulk sugar distributor serving industries with premium quality sugar in large quantities.,6543210987,michael@goldencane.com,"high-quality-sugar, sugar-supplier, bulk-sugar-distributor",2e89c662-5bbe-4087-9a6a-455632873eb7
WoodMasters,David Green,Chair,"Custom furniture designer, crafting unique and ergonomic chair solutions.",5432109876,david@woodmasters.com,"customized-furniture, ergonomic-chairs, unique-furniture",78f5938d-1c03-4244-88ef-7630ab599f60
EcoWood Ltd.,Sophia Lee,Wood,"Timber and wood products supplier, offering sustainable and durable wood materials.",4321098765,sophia@ecowood.com,"timber-supplier, sustainable-wood-products, durable-wood-materials",81e518a3-958a-4274-b513-13d4bef1c0e9
PureGold Pvt Ltd.,Emily Johnson,Gold,"Gold jewelry and investment items, trusted for purity and craftsmanship.",3210987654,emily@puregold.com,"gold-jewelry, investment-items, trusted-craftsmanship, purity-gold",8f3c69e7-8206-4436-83be-d76e02e0030f
NatureWood,Daniel Parker,Wood,"Sustainable wood furniture, blending aesthetics with eco-friendly designs.",2109876543,daniel@naturewood.com,"sustainable-wood-products, customized-furniture, unique-furniture, trusted-craftsmanship",85fd3f8e-9595-4905-917c-126806f32597
GoldElite,Olivia Adams,Gold,"Gold coins and bars supplier, ensuring trusted investment-grade quality.",1098765432,olivia@goldelite.com,"investment-items, purity-gold",1df7e46f-720d-4c24-b042-7c7f2c28b588
OfficeMart,Emma Wilson,Stationary,"Stationery and office supplies, providing all essentials for businesses and schools.",9988776655,emma@officemart.com,"office-furniture, stationery-supplies, office-supplies",69271839-5abd-4faf-9446-838ea7d59277
